# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: coVsys, unit: km / s, datatype: float64, description: LSR Radio Velocity}
# - {name: coDEobstim, unit: h, datatype: float64, description: D+E array observing time}
# - {name: coNpt, datatype: int64, description: No. of CARMA pointings}
# - {name: coDEbmaj, unit: arcsec, datatype: float64, description: Native D+E-array beam major axis}
# - {name: coDEbmin, unit: arcsec, datatype: float64, description: Native D+E-array beam minor axis}
# - {name: coRMS_10, unit: mK, datatype: float64, description: Noise in 10 km/s channel}
# - {name: coTpk_10, unit: mK, datatype: int64, description: Peak brightness in 10 km/s channel}
# - {name: coSNRpeak_10, datatype: float64, description: Peak brightness at 10 km/s in SNR units}
# - {name: ImagingDate_10, datatype: string, description: Date of 10 km/s imaging}
# - {name: coRMS_20, unit: mK, datatype: float64, description: Noise in 20 km/s channel}
# - {name: coTpk_20, unit: mK, datatype: int64, description: Peak brightness in 20 km/s channel}
# - {name: coSNRpeak_20, datatype: float64, description: Peak brightness at 20 km/s in SNR units}
# - {name: ImagingDate_20, datatype: string, description: Date of 20 km/s imaging}
# delimiter: ','
# meta: !!omap
# - {date: '2020-06-01'}
# schema: astropy-2.0
Name,coVsys,coDEobstim,coNpt,coDEbmaj,coDEbmin,coRMS_10,coTpk_10,coSNRpeak_10,ImagingDate_10,coRMS_20,coTpk_20,coSNRpeak_20,ImagingDate_20
UGC05111,6595.5,4.61,7,5.21,4.95,37.6,403,10.7,02/13/16 22:00:36 CST,29.4,373,12.7,06/09/16 03:01:45 CDT
UGC05244,2981.7,2.33,7,5.1,4.64,59.1,282,4.78,02/13/16 22:15:19 CST,46.5,225,4.83,06/09/16 03:10:13 CDT
UGC05359,8249.5,3.99,7,6.75,4.87,27.8,150,5.42,02/13/16 22:29:51 CST,21.6,125,5.76,06/09/16 03:18:33 CDT
UGC05498NED01,6174.4,3.93,7,5.24,3.92,61.9,273,4.41,02/13/16 22:44:36 CST,47.8,250,5.23,06/09/16 03:26:43 CDT
UGC05598,5519.8,2.98,7,5.83,4.07,54.6,378,6.93,02/13/16 23:00:24 CST,43.0,307,7.14,06/09/16 03:35:37 CDT
UGC06312,6201.5,2.94,7,4.61,4.57,50.8,224,4.4,02/13/16 23:15:55 CST,39.5,189,4.78,06/09/16 03:43:53 CDT
UGC07012,3031.5,4.0,7,4.73,3.92,54.9,371,6.74,02/13/16 23:32:41 CST,42.7,249,5.83,06/09/16 03:52:51 CDT
UGC08107,8076.9,3.88,7,4.87,4.47,36.3,304,8.37,02/25/16 17:47:43 CST,28.2,272,9.67,06/09/16 04:02:41 CDT
UGC08250,5184.0,4.01,7,4.87,3.91,49.4,232,4.7,02/14/16 00:08:08 CST,39.0,166,4.27,06/09/16 04:11:46 CDT
UGC08267,7078.6,4.27,7,4.7,3.92,50.9,471,9.26,02/14/16 00:25:41 CST,39.7,445,11.2,06/09/16 04:21:29 CDT
UGC09067,7645.8,4.03,7,5.61,4.39,47.4,402,8.48,02/14/16 00:40:55 CST,36.1,335,9.27,06/09/16 04:30:12 CDT
UGC09476,3236.1,4.0,7,5.16,3.89,58.1,313,5.39,02/14/16 00:56:11 CST,45.2,243,5.39,06/09/16 04:38:44 CDT
UGC09537,8576.5,4.36,7,4.61,3.96,43.8,252,5.76,02/14/16 01:10:59 CST,33.5,223,6.66,06/09/16 04:47:31 CDT
UGC09542,5386.6,3.98,7,5.06,3.61,53.1,313,5.89,02/14/16 01:26:49 CST,41.0,289,7.04,06/09/16 04:56:27 CDT
UGC09665,2535.6,4.01,7,4.57,3.73,64.0,607,9.48,02/14/16 01:43:30 CST,50.8,564,11.08,06/09/16 05:05:17 CDT
UGC09759,3408.4,3.97,7,5.04,3.67,54.0,655,12.13,02/14/16 02:00:47 CST,42.1,620,14.73,06/09/16 05:14:47 CDT
UGC09873,5528.4,3.98,7,4.73,3.7,51.6,326,6.32,02/14/16 02:16:51 CST,40.2,278,6.91,06/09/16 05:23:40 CDT
UGC09892,5569.7,3.67,7,4.84,4.15,44.8,215,4.81,02/14/16 02:32:45 CST,34.5,194,5.6,06/09/16 05:32:06 CDT
UGC09919,3151.3,4.66,7,4.82,4.49,53.4,328,6.14,02/14/16 02:48:59 CST,41.9,198,4.73,06/09/16 05:41:15 CDT
UGC10043,2153.2,4.29,7,4.67,3.9,69.3,614,8.85,02/14/16 03:05:49 CST,54.1,610,11.26,06/09/16 05:50:59 CDT
UGC10123,3720.0,4.01,7,4.38,3.88,57.6,632,10.98,02/14/16 03:24:22 CST,43.7,589,13.46,06/09/16 06:01:25 CDT
UGC10205,6432.9,2.96,7,5.57,4.14,44.5,232,5.22,02/14/16 03:39:42 CST,34.4,213,6.17,06/09/16 06:09:41 CDT
UGC10331,4485.4,3.01,7,6.5,4.08,65.3,265,4.06,02/14/16 03:55:49 CST,49.2,194,3.94,06/09/16 06:17:50 CDT
UGC10380,8510.7,4.01,7,4.82,4.38,46.5,237,5.1,02/14/16 04:10:49 CST,35.9,226,6.28,06/09/16 06:26:18 CDT
UGC10384,4869.0,4.01,7,5.15,4.04,43.6,657,15.06,02/14/16 04:27:55 CST,33.8,612,18.09,06/09/16 06:36:15 CDT
UGC10710,8153.9,4.01,7,5.04,3.95,50.5,367,7.28,02/14/16 04:42:31 CST,38.4,236,6.16,06/09/16 06:44:41 CDT
