!! request processed by HyperLeda Mon Aug  6 20:05:43 2018
!! Number of lines in uploaded file: 177
!! Manually edited names for IC2247, NGC4211NED02, UGC05498NED01, NGC 6125
                  name                  |     objname     |     al2000      |     de2000      |      type       |       bar       |      ring       |    multiple     |        t        |       e_t       |     logd25      |    e_logd25     |     logr25      |    e_logr25     |       pa        |       bt        |      e_bt       |       it        |      e_it       |      vmaxg      |     e_vmaxg     |       m21       |      e_m21      |      mfir       |        v        |       e_v       |       ag        |      incl       |      bvtc       |      vrot       |     e_vrot      |     modbest     |    e_modbest    |      mabs       |     e_mabs      |
  ARP220                                |  IC1127         | 15.5825825      | 23.5028574      | Sm              |                 |                 |                 | 9.3             | 1.9             |  1.044          |    0.045        |  0.189          |    0.026        | 96.46           | 13.955          | 0.094           |                 |                 | 147.44          |   15.72         | 14.244          | 0.312           | 8.283           | 5427            | 6.8             | 0.22            | 56.98           | 0.656           | 175.83          |  18.88          |  34.585         |     0.192       | -21.208         |  0.213          |
  IC0480                                |  IC0480         | 7.923108        | 26.7426992      | Sbc             |                 |                 |                 | 4               | 0.4             |  1.243          |    0.033        |  0.726          |    0.025        | 167.29          | 15.035          | 0.297           | 13.199          | 0.16            | 152.52          |    3.15         | 15.52           | 0.162           | 12.117          | 4624.3          | 2.6             | 0.183           |   90            |                 | 152.52          |                 |   33.96         |     0.334       | -20.219         |  0.447          |
  IC0540                                |  IC0540         | 9.5028622       | 7.9027107       | Sab             |                 |                 |                 | 2.1             | 1.7             |   1.03          |    0.101        |  0.596          |    0.048        | 170.79          | 14.692          | 0.247           | 13.118          | 0.208           |   101           |    4.76         | 17.078          | 0.165           |                 | 2042.4          | 7.9             | 0.262           |   90            |                 |  101            |                 |  32.341         |      0.54       | -18.6           |  0.594          |
  IC0944                                |  IC0944         | 13.8585742      | 14.0921046      | Sa              |                 |                 |                 | 1.1             | 0.6             |  1.184          |    0.072        |  0.313          |     0.06        | 106.54          | 14.456          | 0.372           | 12.395          | 0.245           | 298.93          |    7.36         | 16.021          |  0.19           | 13.224          | 6995.9          | 1.2             | 0.106           | 67.58           |                 | 323.39          |   8.21          |  35.093         |     0.152       | -21.108         |  0.402          |
  IC1151                                |  IC1151         | 15.9756507      | 17.4414742      | SBc             | B               |                 |                 | 5.1             | 0.7             |  1.349          |    0.024        |  0.403          |    0.027        | 31.81           | 13.452          | 0.063           | 12.608          | 0.266           | 104.89          |    1.84         | 14.84           | 0.105           | 12.946          | 2173.2          | 3.3             | 0.164           | 69.61           | 0.412           | 111.9           |   1.99          |  33.439         |     0.073       | -20.844         |  0.096          |
  IC1199                                |  IC1199         | 16.1762056      | 10.0404167      | Sbc             |                 |                 |                 | 3.7             | 1.3             |  1.076          |    0.092        |  0.457          |     0.05        | 158             | 14.535          | 0.322           |                 |                 | 197.31          |   11.89         | 15.999          | 0.243           | 13.549          | 4724.7          | 5.5             | 0.228           | 74.75           |                 | 204.51          |  12.38          |  34.263         |     0.221       | -20.676         |   0.39          |
  IC1256                                |  IC1256         | 17.3964765      | 26.4864529      | Sb              |                 |                 |                 | 3.4             | 0.7             |  1.106          |    0.044        |  0.233          |    0.029        | 93.08           | 14.408          | 0.274           | 13.076          | 0.084           | 148.18          |    4.07         | 15.186          | 0.179           | 13.738          | 4733            | 3.2             | 0.212           | 56.8            |                 | 177.09          |   4.97          |  34.299         |     0.217       | -20.493         |   0.35          |
  IC1683                                |  IC1683         | 1.3774611       | 34.437          | Sb              |                 |                 |                 | 2.7             | 2.5             |  1.119          |    0.076        |   0.36          |    0.057        | 173.03          | 14.127          | 0.323           |                 |                 | 182.16          |   13.05         | 17.174          | 0.189           | 12.336          | 4881.8          | 9.7             | 0.217           | 69.03           |                 | 195.07          |  14.08          |  34.299         |     0.218       | -20.912         |  0.389          |
  IC2247                                |  UGC04299       | 8.2664118       | 23.199604       | Sbc             |                 |                 |                 | 4               | 0.4             |  1.261          |    0.031        |   0.83          |    0.037        | 149.14          | 14.038          | 0.225           | 12.735          | 0.26            | 182.96          |     4.2         | 16.074          | 0.121           | 12.671          | 4292.7          | 3.1             | 0.228           |   90            |                 | 182.96          |                 |  33.909         |     0.204       | -21.336         |  0.304          |
  IC2487                                |  IC2487         | 9.502554        | 20.0909112      | Sb              |                 | R               |                 | 3.1             | 0.5             |  1.264          |    0.031        |  0.599          |    0.022        | 164.34          | 14.131          | 0.28            | 12.855          | 0.207           | 170.84          |    4.58         | 14.89           |  0.21           | 13.488          | 4339.1          | 1.8             | 0.211           |   90            |                 | 170.84          |                 |  34.013         |     0.248       | -20.944         |  0.375          |
  IC4566                                |  IC4566         | 15.6117113      | 43.5393358      | Sb              | B               |                 |                 | 2.5             | 0.8             |  1.131          |    0.044        |  0.182          |    0.025        | 162.87          | 14.113          | 0.063           | 12.656          | 0.074           | 133.29          |    8.36         | 16.96           | 0.092           |                 | 5582            | 36.6            | 0.117           | 51.56           | 0.741           | 170.18          |  10.81          |  34.662         |     0.185       | -20.958         |  0.196          |
  IC5376                                |  IC5376         | 0.0221556       | 34.5257222      | Sab             |                 |                 |                 | 2               | 0.3             |  1.215          |    0.027        |   0.57          |    0.028        |  4              | 14.61           | 0.326           |                 |                 | 201.82          |    6.66         | 15.574          | 0.097           |                 | 5029.9          | 3.2             | 0.31            |   90            |                 | 201.82          |                 |   34.37         |      0.21       | -20.749         |  0.387          |
  NGC0444                               |  NGC0444        | 1.2637817       | 31.0801809      | Sc              |                 |                 |                 | 6.4             | 0.9             |  1.195          |     0.03        |  0.658          |    0.022        | 159.85          | 14.999          | 0.093           | 13.166          | 0.091           | 117.55          |    2.52         | 15.562          |  0.13           |                 | 4837            | 2.2             | 0.272           | 81.93           | 0.545           | 118.72          |   2.55          |  34.033         |       0.4       | -20.473         |  0.411          |
  NGC0447                               |  NGC0447        | 1.2604444       | 33.0676389      | S0-a            | B               |                 |                 | 0.2             | 0.7             |  1.345          |    0.055        |  0.012          |    0.048        |                 | 15.075          | 0.225           | 11.414          | 0.104           | 94.03           |    3.01         | 16.019          | 0.351           |                 | 5595            | 5.1             | 0.269           | 14.59           | 1.026           | 373.28          |  24.22          |  34.585         |     0.191       | -19.87          |  0.295          |
  NGC0477                               |  NGC0477        | 1.3556544       | 40.4882148      | Sc              | B               |                 |                 | 5               | 0.4             |  1.191          |    0.048        |   0.45          |    0.028        | 135.46          | 13.914          | 0.325           | 12.162          | 0.064           | 150.18          |    4.73         | 15.001          | 0.118           |                 | 5858.4          |   3             | 0.232           | 72.67           |                 | 157.33          |   4.98          |   34.82         |      0.03       | -21.921         |  0.326          |
  NGC0496                               |  NGC0496        | 1.3865417       | 33.5285441      | Sbc             |                 |                 |                 | 4               | 0.3             |   0.95          |    0.052        |   0.43          |    0.028        | 36.39           | 14.299          | 0.329           | 12.539          | 0.04            | 136.26          |    3.67         | 15.472          | 0.198           | 13.321          | 6005.1          | 2.9             | 0.313           | 72.45           | 0.408           | 142.91          |   3.88          |  34.504         |     0.556       | -21.231         |  0.646          |
  NGC0523                               |  NGC0523        | 1.422441        | 34.0249907      | Sbc             |                 |                 | M               | 4.2             | 2.5             |  1.401          |    0.064        |  0.549          |    0.069        | 103.7           | 13.496          | 0.066           |                 |                 | 223.87          |    6.98         | 15.2            | 0.092           | 12.25           | 4760.7          |   6             | 0.234           | 79.74           | 0.604           | 227.52          |   7.15          |  34.319         |      0.04       | -21.945         |  0.077          |
  NGC0528                               |  NGC0528        | 1.4259932       | 33.6714722      | S0              |                 |                 |                 | -2              | 0.4             |  1.248          |    0.062        |  0.231          |    0.048        | 56.66           | 13.647          | 0.248           | 11.765          | 0.306           |                 |                 |                 |                 | 13.582          | 4751.2          | 11.3            | 0.28            | 66.76           |                 |                 |                 |  34.245         |     0.224       | -20.949         |  0.334          |
  NGC0551                               |  NGC0551        | 1.4612944       | 37.1828889      | SBbc            | B               |                 |                 | 4               | 0.2             |  1.172          |    0.035        |  0.399          |    0.023        | 137.34          | 13.418          | 0.324           | 12.137          | 0.032           | 169.99          |    4.77         | 15.93           | 0.092           | 13.481          | 5189.2          | 14.9            | 0.247           | 70.32           |                 | 180.53          |    5.1          |  34.338         |     0.177       | -21.83          |  0.369          |
  NGC1093                               |  NGC1093        | 2.8044855       | 34.419778       | SABa            | B               |                 |                 | 2               | 0.5             |  1.065          |    0.049        |  0.188          |    0.024        | 98.75           | 14.237          | 0.321           |                 |                 | 166.61          |    4.83         | 15.129          | 0.098           |                 | 5281.4          | 6.5             | 0.379           | 52.75           |                 | 209.31          |   6.22          |  34.455         |     0.203       | -20.884         |   0.38          |
  NGC1167                               |  NGC1167        | 3.0284351       | 35.2057302      | S0              |                 |                 |                 | -2.4            | 0.6             |   1.26          |    0.036        |  0.121          |     0.03        | 70              | 13.461          | 0.144           |                 |                 | 213.02          |    6.42         | 15.595          | 0.174           |                 | 4952.4          |   3             | 0.784           | 49.05           | 0.87            | 282.04          |   8.96          |  34.317         |     0.217       | -21.714         |   0.26          |
  NGC2253                               |  NGC2253        | 6.7282806       | 65.20625        | Sc              |                 |                 |                 | 5.8             | 0.5             |  1.154          |    0.033        |  0.131          |    0.022        | 129.5           | 12.921          | 0.324           | 11.504          | 0.039           | 146.53          |    4.15         | 14.86           | 0.097           | 11.692          | 3565            | 2.1             | 0.294           | 43.26           |                 | 213.8           |   6.28          |  33.686         |     0.289       | -21.308         |  0.434          |
  NGC2347                               |  NGC2347        | 7.2677541       | 64.7107858      | Sb              |                 | R               |                 | 3.1             | 0.6             |  1.216          |     0.04        |   0.14          |    0.034        | 5.2             | 13.314          | 0.127           | 11.502          | 0.064           | 202.18          |    5.99         | 14.939          | 0.133           | 12.141          | 4423.8          |   2             | 0.349           | 45.43           | 0.625           | 283.78          |   8.83          |   34.32         |     0.298       | -21.598         |  0.324          |
  NGC2410                               |  NGC2410        | 7.5839628       | 32.8221293      | Sb              | B               |                 |                 | 3.1             | 0.6             |  1.336          |    0.059        |  0.525          |    0.048        | 32.83           | 13.791          | 0.279           | 12.005          |  0.3            | 229.63          |    5.62         | 15.286          | 0.266           | 12.519          | 4678.4          | 4.4             | 0.19            | 80.61           |                 | 232.75          |   5.74          |  34.135         |     0.199       | -21.299         |  0.343          |
  NGC2449                               |  NGC2449        | 7.7889734       | 26.9301937      | SBab            | B               |                 |                 | 2               | 0.3             |  1.157          |    0.038        |  0.403          |     0.03        | 135.47          | 14.111          | 0.323           | 12.401          | 0.088           | 101.13          |    4.09         | 16.591          |  0.42           |                 | 4880.6          | 13.4            | 0.191           | 73.74           |                 | 105.34          |   4.29          |  34.263         |     0.222       | -20.864         |  0.392          |
  NGC2480                               |  NGC2480        | 7.9528982       | 23.7797771      | SBm             | B               |                 | M               | 9.3             | 1.9             |   1.12          |    0.038        |   0.41          |     0.03        | 163.08          | 14.997          | 0.341           | 13.807          | 0.149           | 39.62           |    5.38         | 16.846          |  0.23           | 13.504          | 2343.2          | 4.9             | 0.28            |   90            |                 | 39.62           |                 |  32.661         |     0.463       | -18.704         |  0.575          |
  NGC2481                               |  NGC2481        | 7.9538157       | 23.7677168      | S0-a            | B               |                 | M               | -0.3            | 1.9             |  1.146          |    0.038        |  0.386          |    0.032        | 18.5            | 13.322          | 0.323           | 11.296          | 0.078           | 63.29           |    6.41         | 16.921          |  0.42           |                 | 2180.4          | 17.5            | 0.28            | 81.47           |                 |   64            |    6.5          |  32.507         |     0.498       | -19.563         |  0.593          |
  NGC2486                               |  NGC2486        | 7.9656862       | 25.1608727      | SBa             | B               | R               |                 | 1.2             | 0.7             |  1.172          |    0.029        |  0.244          |    0.024        | 89.23           | 14.321          | 0.094           | 12.815          | 0.273           | 193.04          |    4.41         | 16.322          | 0.138           |                 | 4637.3          | 4.5             | 0.231           | 60.2            | 0.714           | 222.45          |   5.19          |  34.151         |     0.234       | -20.356         |  0.252          |
  NGC2487                               |  NGC2487        | 7.972353        | 25.1492118      | Sb              | B               | R               |                 | 3.1             | 0.5             |  1.238          |    0.043        |  0.085          |    0.025        |                 | 13.38           | 0.115           | 12.169          | 0.307           | 119.46          |    3.34         | 15.469          | 0.152           | 13.46           | 4830.4          | 4.2             | 0.219           | 35.97           | 0.632           | 203.37          |   6.11          |  34.245         |     0.224       | -21.249         |  0.252          |
  NGC2604                               |  NGC2604        | 8.5564206       | 29.5387746      | SBc             | B               |                 | M               | 6               | 0.4             |   1.17          |    0.046        |  0.033          |    0.023        |                 | 13.624          | 0.425           | 13.264          | 0.097           | 60.28           |    1.74         | 14.17           | 0.212           | 12.758          | 2083.5          | 1.8             | 0.178           | 22.44           |                 | 157.9           |   5.43          |  32.467         |     0.509       | -19.089         |  0.663          |
  NGC2623                               |  NGC2623        | 8.6400187       | 25.7545702      | Sb              |                 |                 | M               | 2.7             | 1.8             |  1.379          |    0.114        |  0.536          |    0.081        | 36.46           | 13.984          | 0.073           | 13.277          | 0.072           | 35.02           |    2.11         | 16.707          | 0.228           | 9.847           | 5499            |  32             | 0.178           | 82.99           | 0.512           | 35.28           |   2.14          |  34.926         |     0.216       | -21.861         |  0.228          |
  NGC2639                               |  NGC2639        | 8.7272387       | 50.2055329      | Sa              |                 | R               |                 | 0.8             | 0.8             |  1.207          |    0.075        |  0.125          |    0.059        | 140             | 12.596          | 0.082           |                 |                 | 269.76          |   36.42         |                 |                 | 12.034          | 3225            | 6.7             | 0.102           | 44.64           | 0.836           | 383.91          |  53.01          |  33.464         |     0.322       | -21.115         |  0.332          |
  NGC2730                               |  NGC2730        | 9.037727        | 16.8382614      | Sd              | B               |                 |                 | 8               | 0.9             |   1.16          |    0.039        |   0.18          |     0.03        | 71.99           | 13.78           | 0.372           | 13.252          | 0.067           |  83.5           |    2.28         | 15.381          | 0.233           | 13.209          | 3826.1          |   2             | 0.118           | 55.72           |                 | 101.06          |   2.86          |  33.732         |     0.284       | -20.411         |  0.468          |
  NGC2805                               |  NGC2805        | 9.3389935       | 64.1029681      | SABc            | B               | R               | M               | 6.9             | 0.3             |   1.53          |    0.028        |  0.089          |     0.03        | 153.98          | 11.787          | 0.149           | 10.766          | 0.078           |  41.4           |    0.91         | 13.012          | 0.111           |                 | 1733            | 2.1             | 0.219           | 36.01           | 0.411           | 70.41           |   1.71          |  32.254         |     0.558       | -20.853         |  0.577          |
  NGC2880                               |  NGC2880        | 9.4929378       | 62.4906177      | E-S0            | B               | R               |                 | -2.6            | 0.6             |  1.368          |    0.058        |  0.221          |    0.057        | 141.66          | 12.525          | 0.062           | 11.148          | 0.071           |                 |                 |                 |                 |                 | 1481            |  50             | 0.143           | 68.45           | 0.859           |                 |                 |  31.705         |       0.2       | -19.346         |  0.209          |
  NGC2906                               |  NGC2906        | 9.5350625       | 8.4418092       | Sc              |                 |                 | M               | 5.7             | 0.8             |  1.132          |    0.076        |  0.226          |    0.047        | 70.71           | 13.173          | 0.359           | 11.785          | 0.114           | 156.65          |    3.03         | 15.645          | 0.174           | 12.376          | 2283            | 52.2            | 0.205           | 54.96           |                 | 191.32          |    3.9          |   32.96         |     0.281       | -20.399         |  0.456          |
  NGC2916                               |  NGC2916        | 9.5826648       | 21.7052457      | Sb              |                 |                 |                 | 3.1             | 0.6             |  1.378          |    0.036        |  0.157          |    0.045        | 15.65           | 12.745          | 0.13            | 12.306          | 0.054           | 172.12          |    6.28         | 14.975          | 0.186           | 12.551          | 3715.8          | 3.4             | 0.115           | 47.92           | 0.61            | 231.91          |   8.85          |  33.285         |     0.363       | -20.919         |  0.386          |
  NGC2918                               |  NGC2918        | 9.5955682       | 31.7054665      | E               |                 |                 |                 | -4.7            | 0.9             |  1.192          |    0.038        |  0.167          |    0.026        | 65.83           | 13.519          | 0.233           | 11.992          | 0.102           |                 |                 |                 |                 |                 | 6756.3          | 2.7             | 0.083           | 77.27           |                 |                 |                 |  34.989         |     0.159       | -21.655         |  0.282          |
